driver_id,total_fare,avg_distance
7,231.20000000000002,23.784999999999997
11,273.08000000000004,28.343333333333334
29,214.76,13.857500000000002
69,462.52,23.146666666666665
42,399.07,30.266000000000002
3,762.52,20.442857142857147
34,260.74,21.4
22,517.99,25.515
85,393.25,22.405
35,131.14,32.144999999999996
52,120.9,32.07333333333333
47,342.28,22.05333333333333
70,214.70999999999998,22.259999999999998
17,455.32,24.02
6,169.7,23.090000000000003
19,345.66,16.803333333333335
25,169.63,13.405
44,387.57000000000005,15.501999999999999
82,205.67000000000002,28.064999999999998
86,167.01,22.4325
58,628.3199999999999,30.56
81,218.32,32.12
97,193.23000000000002,22.700000000000003
88,275.33000000000004,47.056666666666665
1,450.03999999999996,18.3675
20,87.36999999999999,34.68
10,265.98,31.296666666666663
65,56.22,26.495
4,496.35,19.881428571428568
62,295.76000000000005,14.004999999999999
13,343.71000000000004,27.8325
91,350.53,14.183333333333335
94,214.67000000000002,20.243333333333336
50,306.36,25.915
