driver_id,total_fare,avg_distance
42,147.46,17.3
73,69.08,37.93
64,221.12,22.577999999999996
59,467.09000000000003,22.03
85,157.3,39.545
16,375.07,21.25
71,347.6,25.460000000000004
98,236.16000000000003,22.642500000000002
47,234.28,30.019999999999996
100,227.22,15.5025
27,451.76,31.99
77,277.91999999999996,37.276666666666664
90,309.13,21.84
60,361.76000000000005,16.828
19,265.47,16.545
41,258.98,30.444000000000006
95,363.03999999999996,30.576666666666664
44,178.66,6.55
82,59.93,28.64
53,56.07,24.895
84,425.93000000000006,29.448
9,218.45,31.549999999999997
1,425.87999999999994,17.377142857142857
20,70.28999999999999,27.65
10,137.7,32.3
4,371.63,13.591999999999999
62,268.58000000000004,13.096666666666666
76,184.31,30.44333333333333
2,136.13,9.283333333333333
45,179.31,26.58666666666667
