driver_id,total_fare,avg_distance
7,124.23,27.54
69,116.75,9.62
73,146.31,17.16
3,11.55,44.85
59,100.3,28.06
8,13.01,19.76
22,119.43,26.555
28,114.79,1.08
85,21.78,26.76
35,133.34,35.13
16,144.98,8.26
52,18.73,30.84
71,105.98,31.79
99,102.27,5.8
96,81.72,37.99
100,145.13,9.02
70,59.17,22.52
75,351.92,31.703333333333333
26,105.14,13.57
77,16.19,29.65
89,249.93,38.71
6,118.69,5.28
68,116.67,16.46
60,75.24,9.3
19,139.67,6.24
23,91.8,5.76
55,317.86,23.863333333333333
95,200.6,26.3
40,83.93,2.73
38,112.41,41.92
25,41.91,29.3
82,38.94,28.215
53,105.67,42.025000000000006
92,60.27,29.555
33,102.55,24.05
84,32.43,34.93
79,73.44,47.65
9,105.98,31.65
24,98.26,25.54
32,146.68,34.71
20,281.40999999999997,36.56666666666667
36,172.75,40.339999999999996
10,81.86,7.5
37,91.57,31.56
49,104.03,30.27
63,113.26,19.63
65,14.51,18.84
12,109.09,24.77
83,306.03999999999996,2.19
13,136.12,48.53
14,54.28,25.54
76,100.06,12.18
45,162.7,12.530000000000001
